name,parent,slug,fullSlug,description,image
Water Care,,water-care,water-care,"Complete water maintenance solutions for your pool, spa, or hot tub. Keep your water clean, balanced, and safe.",
Swim Spa Care,Water Care,swim-spa-care,water-care/swim-spa-care,"Specialized care products for swim spa maintenance.",
Swim Spa Kits,Swim Spa Care,swim-spa-kits,water-care/swim-spa-care/swim-spa-kits,"All-in-one care kits for swim spa maintenance.",
Swim Spa Balancers,Swim Spa Care,swim-spa-balancers,water-care/swim-spa-care/swim-spa-balancers,"Chemical balancers for optimal swim spa water chemistry.",
Swim Spa Sanitizers,Swim Spa Care,swim-spa-sanitizers,water-care/swim-spa-care/swim-spa-sanitizers,"Sanitizing solutions for swim spa water safety.",
Swim Spa Maintenance,Swim Spa Care,swim-spa-maintenance,water-care/swim-spa-care/swim-spa-maintenance,"Regular maintenance products for swim spas.",
Hot Tub Care,Water Care,hot-tub-care,water-care/hot-tub-care,"Complete care solutions for your hot tub.",
Hot Tub Kits,Hot Tub Care,hot-tub-kits,water-care/hot-tub-care/hot-tub-kits,"Complete care kits for hot tub maintenance.",
Hot Tub Balancers,Hot Tub Care,hot-tub-balancers,water-care/hot-tub-care/hot-tub-balancers,"Water balancing chemicals for hot tubs.",
Hot Tub Sanitizers,Hot Tub Care,hot-tub-sanitizers,water-care/hot-tub-care/hot-tub-sanitizers,"Sanitizing products for hot tub water safety.",
Hot Tub Maintenance,Hot Tub Care,hot-tub-maintenance,water-care/hot-tub-care/hot-tub-maintenance,"Essential maintenance products for hot tubs.",
Pool Care,Water Care,pool-care,water-care/pool-care,"Professional-grade pool maintenance products.",
Pool Kits,Pool Care,pool-kits,water-care/pool-care/pool-kits,"Comprehensive pool care kits.",
Pool Salts,Pool Care,pool-salts,water-care/pool-care/pool-salts,"Salt products for chlorine generators and salt water pools.",
Pool Balancers,Pool Care,pool-balancers,water-care/pool-care/pool-balancers,"Chemical balancers for pool water chemistry.",
Pool Sanitizers,Pool Care,pool-sanitizers,water-care/pool-care/pool-sanitizers,"Pool sanitizing and disinfection products.",
Pool Maintenance,Pool Care,pool-maintenance,water-care/pool-care/pool-maintenance,"Regular pool maintenance chemicals and products.",
Pool Algaecides,Pool Care,pool-algaecides,water-care/pool-care/pool-algaecides,"Algae prevention and treatment solutions.",
Filters,,filters,filters,"High-quality filtration systems and replacement filters for all your water maintenance needs.",
Swim Spa Filters,Filters,swim-spa-filters,filters/swim-spa-filters,"Replacement filters for swim spa systems.",
Hot Tub Filters,Filters,hot-tub-filters,filters/hot-tub-filters,"Replacement filters for hot tub systems.",
Pool Filters,Filters,pool-filters,filters/pool-filters,"Pool filtration systems and replacement cartridges.",
Parts,,parts,parts,"Genuine replacement parts and components to keep your equipment running smoothly.",
Swim Spa Parts,Parts,swim-spa-parts,parts/swim-spa-parts,"Replacement parts for swim spa systems.",
Hot Tub Parts,Parts,hot-tub-parts,parts/hot-tub-parts,"Replacement parts for hot tub systems.",
Pool Winterization,Parts,pool-winterization,parts/pool-winterization,"Products and equipment for pool winterizing.",
Accessories,,accessories,accessories,"Enhance your water experience with our range of accessories and equipment.",
Swim Spa Accessories,Accessories,swim-spa-accessories,accessories/swim-spa-accessories,"Enhance your swim spa experience with our accessories.",
Hot Tub Accessories,Accessories,hot-tub-accessories,accessories/hot-tub-accessories,"Accessories to improve your hot tub experience.",
Pool Accessories,Accessories,pool-accessories,accessories/pool-accessories,"Essential and fun accessories for your pool.",
Pool Tools,Pool Accessories,pool-tools,accessories/pool-accessories/pool-tools,"Maintenance and cleaning tools for pools.",
Pool Toys,Pool Accessories,pool-toys,accessories/pool-accessories/pool-toys,"Recreational toys and games for pool fun.",
Pool Robots,Pool Accessories,pool-robots,accessories/pool-accessories/pool-robots,"Automatic pool cleaning robots and equipment.",
Aqua Fitness,,aqua-fitness,aqua-fitness,"Equipment and accessories for water-based exercise and fitness routines.",
Swimwear,,swimwear,swimwear,"Quality swimwear and water-friendly attire for all ages.",
Fragrances,,fragrances,fragrances,"Aromatic solutions to enhance your water experience.",
Outdoor Living,,outdoor-living,outdoor-living,"Transform your outdoor space with our selection of furniture and features.",
Patio Furniture,Outdoor Living,patio-furniture,outdoor-living/patio-furniture,"Stylish and durable outdoor furniture.",
Fire Features,Outdoor Living,fire-features,outdoor-living/fire-features,"Outdoor fire pits and heating solutions.",